"Place_Name","Place_ID","user_ratings_total","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","wikipedia2VecVocab","wikipedia2VecVocabKouho"
"Yasukuni Shrine","ChIJ1UOuDWiMGGARkM6Iv-ZU57U","20631","3","8","4","7","11","6","21","3","5","8","ENTITY/Yasukuni Shrine",""
"The National Museum Of Modern Art, Tokyo","ChIJL0kSfg2MGGARKv5KX53ZZ2Y","6346","4","10","2","5","8","11","22","6","8","10","ENTITY/The National Museum Of Modern Art, Tokyo",""
"Science And Technology Museum","ChIJdfZ2xRKMGGARQSyxv6wfzw8","3520","2","15","0","2","9","3","30","1","4","14","ENTITY/Science And Technology Museum",""
"National Showa Memorial Museum","ChIJP5nfE2uMGGARCD9T7XHuNb4","1170","8","10","0","14","8","25","30","9","6","11","ENTITY/National Showa Memorial Museum",""
"Tsukudo Shrine","ChIJ4UhE-GqMGGARlLgTJ-LIbtU","450","0","2","0","1","1","2","5","0","1","3","ENTITY/Tsukudo Shrine",""
"Tokyo Daijingu Shrine","ChIJq6q63UOMGGAR7zYBKd7iI3I","10493","3","20","2","6","21","4","29","0","10","20","ENTITY/Tokyo Daijingu Shrine",""
"JCII Camera Museum","ChIJVVXl-2-MGGAR7svTOrr-IS0","257","0","3","1","2","5","6","15","1","2","7","ENTITY/JCII Camera Museum",""
"Mizuma Art Gallery","ChIJ2YbtW1yMGGARFNVU6oa8RC8","105","1","2","1","1","3","4","13","4","5","5","ENTITY/Mizuma Art Gallery",""
"Fukiage Omiya Palace","ChIJLVL4SHKMGGARR8l5zZQx02A","53","0","1","0","0","1","0","2","0","2","1","ENTITY/Fukiage Omiya Palace",""
"Daijingu Hall","ChIJh7Ol3UOMGGARQ3oMdDHhP3M","61","1","8","2","3","2","8","10","2","3","0","ENTITY/Daijingu Hall",""
"Shōkei Kan","ChIJ_w85TGuMGGARezMKgo73Qx0","204","20","12","6","35","6","47","47","25","8","19","ENTITY/Shōkei Kan",""
"Tayasu Mon Gate","ChIJQwJLmGuMGGARZaD_O7oWHPI","246","3","8","1","3","7","6","22","2","5","23","ENTITY/Tayasu Mon Gate",""
"Kudanzaka Park","ChIJGZArzGuMGGARPTxpzTl2nHE","137","2","10","1","1","10","8","22","5","3","7","ENTITY/Kudanzaka Park",""
"Takatōrō Jōtōmyōdai","ChIJzbiOtmuMGGARAnAP53OIJZ0","119","0","8","0","1","4","3","27","3","3","11","ENTITY/Takatōrō Jōtōmyōdai",""
"Yayoi Ireido","ChIJq9r0nmuMGGARWwwQPkWWkws","26","0","11","1","8","3","7","22","7","8","10","ENTITY/Yayoi Ireido",""
"Clock Tower","ChIJp8s7DqGNGGAR4bsVhMgJC1s","52","1","3","0","1","0","2","3","1","1","2","ENTITY/Clock Tower",""
"Statue Of Ōmura Masujirō","ChIJ8Sc1l2mMGGARIA_VxjgBFQE","252","2","3","1","0","4","2","10","0","2","3","ENTITY/Statue Of Ōmura Masujirō",""
"Chidorigafuchi Moat","ChIJndmxIRmNGGAR9zOZKItqjDI","777","9","25","7","3","24","14","47","4","10","21","ENTITY/Chidorigafuchi Moat",""
"Shimizumon Gate","ChIJ70n0MROMGGARMjFhBBLsEGk","237","3","4","1","1","5","4","11","1","3","7","ENTITY/Shimizumon Gate",""
"Statue Of Special Attack Squad Braves","ChIJJ8aSHWiMGGARmjhDGoLDel0","31","0","9","0","4","7","5","14","2","4","8","ENTITY/Statue Of Special Attack Squad Braves",""
"Site Of Yosano Tekkan & Akiko'S Former Residence","ChIJw5vbJkOMGGAR_aKWf0Alu5M","20","1","8","1","7","6","7","11","4","3","9","ENTITY/Site Of Yosano Tekkan & Akiko'S Former Residence",""
"Kiji Bridge","ChIJ89xfRxKMGGARNpKd03x1yzU","21","3","2","1","2","2","3","11","2","2","3","ENTITY/Kiji Bridge",""
"Aiai Bridge","ChIJn3jzZUCMGGARuppFZM174i8","23","1","8","1","2","16","4","32","2","2","9","ENTITY/Aiai Bridge",""
"Nishikanda Park","ChIJS2KjCxWMGGARlSmbfzCTDhQ","222","0","6","1","1","3","2","7","1","3","4","ENTITY/Nishikanda Park",""
"Jimbōchō Aizen Park","ChIJu36bFRSMGGARJ1K6y-kX1Zs","142","0","2","7","2","2","15","14","5","1","4","ENTITY/Jimbōchō Aizen Park",""
"Site Of Taki Rentarō'S Former Residence","ChIJ4Ry1gGWMGGARVj3doAlwlYI","21","4","9","3","8","12","14","26","12","4","18","ENTITY/Site Of Taki Rentarō'S Former Residence",""
"Nishihanebashi Mon Gate","ChIJ1cJ9wgyMGGARNGBVSQ_0nDk","26","7","9","0","1","5","11","18","2","5","15","ENTITY/Nishihanebashi Mon Gate",""
"Edo Castle Ruins","ChIJiZggVguMGGARaW4UFY3Mo8Q","1213","3","12","3","3","16","6","27","4","7","15","ENTITY/Edo Castle Ruins",""
"Chidorigafuchi Park","ChIJ2Upy0nGMGGARNdDKDGtkffY","2551","4","16","2","1","24","8","52","2","6","16","ENTITY/Chidorigafuchi Park",""
"Mathematical Experience Plaza","ChIJhWS9Z1uMGGAR_BZDzCuwuLM","103","1","1","1","1","1","2","10","1","2","7","ENTITY/Mathematical Experience Plaza",""
"Shimo Dokanbori Moat","ChIJBdU8ugyMGGARJ9UXAFmePUI","36","0","1","0","1","1","0","1","0","0","0","ENTITY/Shimo Dokanbori Moat",""
"Parliamentary Museum","ChIJCSOV_omLGGARC30qXmCHB7A","657","3","9","1","4","9","3","19","1","5","8","ENTITY/Parliamentary Museum",""
"National Diet Building","ChIJibDhsomLGGARkIZSXvrUx0g","1085","0","5","0","5","4","1","24","2","2","15","ENTITY/National Diet Building",""
"Hie Shrine","ChIJF0MR5MSmH2ARj3x0ov0aQ-8","11098","1","7","0","3","9","4","27","5","5","15","ENTITY/Hie Shrine",""
"Tokyo Garden Terrace Kioicho","ChIJ4Z9j7XuMGGAR9u6LL1dJtJ0","6342","1","10","0","2","16","1","33","2","10","11","ENTITY/Tokyo Garden Terrace Kioicho",""
"Site Of Akasaka Mitsuke Gate","ChIJoRtqW3mMGGAR_IfueEJk_5U","113","8","9","0","1","2","9","15","0","3","10","ENTITY/Site Of Akasaka Mitsuke Gate",""
"St. Ignatius Catholic Church","ChIJNZ056omMGGARZhItdVTT87M","1083","0","23","2","1","23","5","44","4","7","31","ENTITY/St. Ignatius Catholic Church",""
"JCII Photo Salon","ChIJ8d_x-2-MGGARauUw6ERrqC4","121","2","3","0","1","3","3","16","0","1","8","ENTITY/JCII Photo Salon",""
"Oishi Fossils Gallery Of Mizuta Memorial Museum, Josai Unversity Educational Corporation","ChIJq6oaRXqMGGARO38fkV_jVbE","66","0","4","0","0","4","3","15","1","2","4","ENTITY/Oishi Fossils Gallery Of Mizuta Memorial Museum, Josai Unversity Educational Corporation",""
"Hanzomon Museum","ChIJAQDQVmWMGGAR4dNK6sEJZ80","306","0","5","1","1","5","4","13","1","3","9","ENTITY/Hanzomon Museum",""
"Hanzōmon Kids Pond","ChIJvVErVHCMGGARuf-ToldwmNM","86","1","8","0","0","8","1","14","0","3","10","ENTITY/Hanzōmon Kids Pond",""
"Miyakezaka Syo Park","ChIJ-5FsWHaMGGARqbbg6TMXPMU","32","2","3","1","2","4","5","10","3","4","3","ENTITY/Miyakezaka Syo Park",""
"Shimizudani Park","ChIJ0zbC6nyMGGAROfFoUq13fnw","658","1","10","1","3","13","7","24","2","3","10","ENTITY/Shimizudani Park",""
"Benkei Bridge","ChIJR0xmHHyMGGARAeMJayOwBhk","87","0","1","0","0","4","2","6","1","0","4","ENTITY/Benkei Bridge",""
"Hotel New Otani Japanese Garden","ChIJd0TGAH2MGGARdoUx5v0t2yo","845","2","5","1","2","15","8","21","1","2","9","ENTITY/Hotel New Otani Japanese Garden",""
"Nakayoshi Park (Kōjimachi Kids Square)","ChIJBzNAQ2KMGGARJ1v9BGmSYj0","154","0","3","0","0","3","2","4","0","1","2","ENTITY/Nakayoshi Park (Kōjimachi Kids Square)",""
"Site Of The Kuichigai Mitsuke","ChIJsR2kVn2MGGARzfT8eo-ciHs","47","10","8","3","14","4","17","26","6","4","16","ENTITY/Site Of The Kuichigai Mitsuke",""
"Japanese Geodetic Origin Point","ChIJN_ucJIqLGGARpSbER4BCoPQ","202","2","5","2","1","3","3","10","4","3","5","ENTITY/Japanese Geodetic Origin Point",""
"The Diet Front Park","ChIJRwdJJIqLGGAR6wrIM__UeZg","74","8","12","4","4","15","10","24","6","9","11","ENTITY/The Diet Front Park",""
"Sannoinari Shrine","ChIJVVXigYeLGGARjnqtQYmiyTM","96","0","4","0","3","5","3","12","1","2","5","ENTITY/Sannoinari Shrine",""
"Sakura Well","ChIJryeESYqLGGAR60avG3cGwd0","30","2","0","1","2","1","2","7","1","1","4","ENTITY/Sakura Well",""
"Tokyo Kotsu Kaikan","ChIJASonFuWLGGARoLBihp8-Dck","12594","0","5","0","0","5","1","6","0","2","3","ENTITY/Tokyo Kotsu Kaikan",""
"Imperial Palace","ChIJTQbYAg2MGGARt22eNwtfGtE","26298","3","16","5","4","14","5","43","6","8","19","ENTITY/Tokyo Imperial Palace",""
"The National Museum Of The Imperial Collections, Sannomaru Shozokan","ChIJPfFaQhOMGGARTfig6X5OJvM","474","2","7","1","0","9","2","15","2","3","7","ENTITY/The National Museum Of The Imperial Collections, Sannomaru Shozokan",""
"Imperial Palace East National Gardens","ChIJPfFaQhOMGGAR-QPbNQoAG6M","7991","8","15","6","10","17","14","29","4","5","16","ENTITY/Imperial Palace East National Gardens",""
"Chowaden (Reception Hall Of Lmperial Palace)","ChIJ-w9nwAqMGGARuiyw3jm3Ios","240","1","6","1","1","7","1","19","1","4","10","ENTITY/Chowaden (Reception Hall Of Lmperial Palace)",""
"Mitsubishi Ichigokan Museum","ChIJuyY-ZfqLGGAREYR9A10IXPQ","2989","0","17","0","1","20","1","40","7","12","14","ENTITY/Mitsubishi Ichigokan Museum, Tokyo",""
"Tokyo Station Gallery","ChIJtxODuv6LGGAR4xf7X3WayX0","2229","0","5","1","0","5","1","16","1","4","8","ENTITY/Tokyo Station Gallery",""
