都道府県,観光地,URL,yorokobi,ikari,takaburi,aware,suki,kowa,yasu,iya,odoroki,haji,SUM,カテゴリ
東京,キッザニア東京,//www.jalan.net/kankou/spt_guide000000178057/kuchikomi/,52,14,17,12,25,10,17,58,12,8,225.0, レジャー・体験
東京,東武ホテルレバント東京,//www.jalan.net/kankou/spt_guide000000184472/kuchikomi/,43,10,11,11,18,10,26,51,11,3,194.0, レジャー・体験
東京,ホテルウィングインターナショナルプレミアム東京四谷 レストランBistroW,//www.jalan.net/kankou/spt_guide000000216175/kuchikomi/,16,1,8,1,4,3,8,6,3,1,51.0, レジャー・体験
東京,明治神宮,//www.jalan.net/kankou/spt_13113ag2130014473/kuchikomi/,72,8,15,13,28,11,41,53,16,4,261.0, 神社・神宮・寺院
東京,東京ドーム天然温泉 スパ ラクーア,//www.jalan.net/kankou/spt_13105cd2112063203/kuchikomi/,47,3,7,4,13,8,23,30,11,5,151.0, 風呂・スパ・サロン
東京,お台場,//www.jalan.net/kankou/spt_13103aj2202035427/kuchikomi/,48,2,7,7,13,4,19,21,8,1,130.0, 観光施設・名所巡り
東京,上野動物園,//www.jalan.net/kankou/spt_13106cc3310040182/kuchikomi/,74,11,14,16,34,13,35,61,13,4,275.0, 観光施設・名所巡り
東京,新宿御苑,//www.jalan.net/kankou/spt_13104ah2140016473/kuchikomi/,62,5,16,9,25,8,34,38,9,4,210.0, 観光施設・名所巡り
東京,2階建てオープンバス『スカイバス』・水陸両用バス『スカイダック』,//www.jalan.net/kankou/spt_guide000000201018/kuchikomi/,22,1,5,2,3,5,7,8,3,2,58.0, 観光施設・名所巡り
東京,東京駅,//www.jalan.net/kankou/spt_13101ae2180022229/kuchikomi/,85,11,21,20,50,14,25,78,18,6,328.0, 観光施設・名所巡り
東京,三井ガーデンホテル汐留イタリア街　ラ・マレーア汐留,//www.jalan.net/kankou/spt_guide000000203571/kuchikomi/,26,4,8,3,6,4,12,12,5,2,82.0, レジャー・体験
東京,国立新美術館,//www.jalan.net/kankou/spt_guide000000186357/kuchikomi/,36,1,13,5,14,2,17,11,10,1,110.0, ミュージアム・ギャラリー
東京,浅草寺,//www.jalan.net/kankou/spt_13106ag2130012302/kuchikomi/,91,15,29,29,55,16,47,91,22,8,403.0, 神社・神宮・寺院
東京,東京ソラマチ,//www.jalan.net/kankou/spt_guide000000179699/kuchikomi/,74,7,19,11,34,5,29,63,14,4,260.0, ショッピング
東京,高尾山,//www.jalan.net/kankou/spt_guide000000187656/kuchikomi/,50,2,7,1,11,7,22,23,8,2,133.0, 自然景観・絶景
東京,神楽坂,//www.jalan.net/kankou/spt_13104aj2200024985/kuchikomi/,41,0,6,1,22,4,21,23,4,0,122.0, その他
東京,歌舞伎座,//www.jalan.net/kankou/spt_guide000000188563/kuchikomi/,38,2,8,4,15,6,14,14,3,1,105.0, 伝統文化・日本文化
東京,靖国神社,//www.jalan.net/kankou/spt_13101ag2130009645/kuchikomi/,49,9,27,26,27,11,26,50,15,4,244.0, 神社・神宮・寺院
東京,ダイバーシティ東京 プラザ,//www.jalan.net/kankou/spt_guide000000179689/kuchikomi/,49,3,12,7,21,6,14,38,11,2,163.0, ミュージアム・ギャラリー
東京,根津美術館,//www.jalan.net/kankou/spt_13103cc3300033938/kuchikomi/,38,0,5,4,20,3,16,15,10,1,112.0, ミュージアム・ギャラリー
東京,増上寺,//www.jalan.net/kankou/spt_13103ag2130009733/kuchikomi/,41,0,6,7,19,5,19,21,7,1,126.0, 神社・神宮・寺院
東京,国立科学博物館,//www.jalan.net/kankou/spt_13106cc3290032252/kuchikomi/,45,6,15,11,23,8,18,40,14,2,182.0, ミュージアム・ギャラリー
東京,丸ビル,//www.jalan.net/kankou/spt_guide000000174092/kuchikomi/,48,4,10,5,20,7,19,23,7,2,145.0, ショッピング
東京,東京国際フォーラム,//www.jalan.net/kankou/spt_guide000000151739/kuchikomi/,47,4,17,7,22,5,24,31,7,1,165.0, ミュージアム・ギャラリー
東京,マクセル　アクアパーク品川,//www.jalan.net/kankou/spt_guide000000178229/kuchikomi/,64,3,15,14,23,11,26,46,17,2,221.0, 観光施設・名所巡り
東京,表参道,//www.jalan.net/kankou/spt_13113aj2200025399/kuchikomi/,63,4,20,9,32,4,19,38,11,2,202.0, ショッピング
東京,東京ミッドタウン,//www.jalan.net/kankou/spt_guide000000191812/kuchikomi/,35,1,6,3,13,2,13,8,5,1,87.0, その他
東京,レンブラントホテル東京町田　カフェダイニングパームツリー,//www.jalan.net/kankou/spt_guide000000186900/kuchikomi/,32,4,6,9,16,6,17,26,7,2,125.0, レジャー・体験
東京,椿山荘 庭園,//www.jalan.net/kankou/spt_guide000000197127/kuchikomi/,28,0,4,1,7,2,13,9,4,0,68.0, 観光施設・名所巡り
東京,八芳園,//www.jalan.net/kankou/spt_guide000000186721/kuchikomi/,28,1,4,1,7,1,12,9,5,1,69.0, 観光施設・名所巡り
東京,森の彫金教室gouttedor,//www.jalan.net/kankou/spt_guide000000180121/kuchikomi/,35,1,6,2,17,0,19,13,6,0,99.0, クラフト・工芸
東京,うづまこ陶芸教室,//www.jalan.net/kankou/spt_guide000000182306/kuchikomi/,27,1,4,2,14,4,12,22,3,0,89.0, クラフト・工芸
東京,レゴランド・ディスカバリー・センター東京,//www.jalan.net/kankou/spt_guide000000186273/kuchikomi/,52,7,12,9,24,5,15,42,13,4,183.0, エンタメ・アミューズメント
東京,グランデックス奥多摩ベース,//www.jalan.net/kankou/spt_guide000000181645/kuchikomi/,28,1,3,1,5,3,16,14,2,0,73.0, ウォータースポーツ・マリンスポーツ
東京,すしざんまい 本店,//www.jalan.net/gourmet/grm_foomoojH000159556/kuchikomi/,37,3,5,7,11,3,16,21,4,0,107.0, 和食
東京,木村屋總本店銀座本店,//www.jalan.net/gourmet/grm_guide000000151750/kuchikomi/,41,2,5,5,20,4,15,23,6,0,121.0, カフェ・スイーツ
東京,あんみつみはし,//www.jalan.net/gourmet/grm_guide000000170490/kuchikomi/,29,4,8,4,14,4,16,26,6,2,113.0, カフェ・スイーツ
東京,浅草梅園,//www.jalan.net/gourmet/grm_guide000000151668/kuchikomi/,19,1,1,2,10,2,11,17,0,0,63.0, カフェ・スイーツ
東京,東京タワーメインデッキ,//www.jalan.net/kankou/spt_13103ad3350046722/kuchikomi/,70,5,21,18,37,17,29,50,13,3,263.0, 観光施設・名所巡り
東京,東京国立博物館,//www.jalan.net/kankou/spt_13106cc3290030118/kuchikomi/,43,5,13,7,20,6,18,20,9,1,142.0, ミュージアム・ギャラリー
東京,日本科学未来館,//www.jalan.net/kankou/spt_guide000000173973/kuchikomi/,37,3,11,4,17,2,15,27,4,0,120.0, ミュージアム・ギャラリー
東京,銀座クレストンホテル,//www.jalan.net/kankou/spt_guide000000192597/kuchikomi/,20,1,3,2,6,4,11,17,3,0,67.0, レジャー・体験
東京,羽田空港（東京国際空港）,//www.jalan.net/kankou/spt_13111ae2190023048/kuchikomi/,79,9,25,14,37,10,34,70,16,2,296.0, 観光施設・名所巡り
東京,東京モノレール,//www.jalan.net/kankou/spt_13103ee4570111999/kuchikomi/,39,5,15,6,16,5,17,22,9,4,138.0, 乗り物
東京,浜離宮恩賜庭園,//www.jalan.net/kankou/spt_13102ah2140016179/kuchikomi/,49,1,10,4,20,2,23,25,8,1,143.0, 観光施設・名所巡り
東京,日比谷公園,//www.jalan.net/kankou/spt_13101ah3330043118/kuchikomi/,49,1,10,11,23,3,33,23,6,0,159.0, 観光施設・名所巡り
東京,表参道ヒルズ,//www.jalan.net/kankou/spt_guide000000196281/kuchikomi/,29,0,7,1,11,2,9,15,5,0,79.0, ショッピング
東京,渋谷東急REIホテル,//www.jalan.net/kankou/spt_guide000000201902/kuchikomi/,13,1,1,0,2,2,6,6,1,1,33.0, レジャー・体験
東京,原宿竹下通り,//www.jalan.net/kankou/spt_13113aj2200023486/kuchikomi/,45,6,15,12,30,13,22,56,13,6,218.0, ショッピング
東京,浅草花やしき,//www.jalan.net/kankou/spt_13106cc3540060086/kuchikomi/,46,5,12,10,29,11,21,42,11,2,189.0, エンタメ・アミューズメント
東京,サンリオピューロランド,//www.jalan.net/kankou/spt_13224cc3540060089/kuchikomi/,56,4,18,17,32,3,25,59,12,3,229.0, エンタメ・アミューズメント
東京,コートヤードマリオット銀座東武ホテル,//www.jalan.net/kankou/spt_guide000000190671/kuchikomi/,32,3,5,4,9,2,12,21,5,2,95.0, レジャー・体験
東京,多摩川ラフティングwinds,//www.jalan.net/kankou/spt_guide000000180458/kuchikomi/,12,0,2,0,2,4,3,8,0,0,31.0, ウォータースポーツ・マリンスポーツ
東京,浅草文化観光センター,//www.jalan.net/kankou/spt_13106cc3290030117/kuchikomi/,38,1,5,2,13,5,13,13,6,0,96.0, 観光施設・名所巡り
東京,秋葉原,//www.jalan.net/kankou/spt_guide000000193815/kuchikomi/,26,0,5,3,14,2,9,10,9,0,78.0, ショッピング
東京,東京ドーム,//www.jalan.net/kankou/spt_13105cc3540060340/kuchikomi/,67,5,19,13,29,9,27,61,13,3,246.0, エンタメ・アミューズメント
東京,三菱一号館美術館,//www.jalan.net/kankou/spt_guide000000184290/kuchikomi/,26,0,3,1,9,2,13,10,2,0,66.0, ミュージアム・ギャラリー
東京,築地場外市場,//www.jalan.net/kankou/spt_13102aj2200116193/kuchikomi/,48,10,15,19,29,10,29,64,15,3,242.0, ショッピング
東京,JAL 工場見学 Sky Museum,//www.jalan.net/kankou/spt_guide000000187048/kuchikomi/,22,1,5,0,9,1,5,11,5,1,60.0, 観光施設・名所巡り
東京,築地本願寺,//www.jalan.net/kankou/spt_13102ag2130009647/kuchikomi/,39,2,12,8,13,3,19,21,7,0,124.0, 神社・神宮・寺院
東京,帝国劇場,//www.jalan.net/kankou/spt_13101ae2190022802/kuchikomi/,45,1,9,4,18,4,15,14,7,0,117.0, ミュージアム・ギャラリー
東京,東京ジャーミィ・トルコ文化センター,//www.jalan.net/kankou/spt_guide000000187461/kuchikomi/,16,0,6,1,12,2,9,6,8,0,60.0, その他
東京,日本庭園（ホテルニューオータニ）,//www.jalan.net/kankou/spt_guide000000197120/kuchikomi/,25,0,4,1,8,2,12,6,4,0,62.0, 観光施設・名所巡り
東京,伊勢丹新宿店,//www.jalan.net/kankou/spt_guide000000151609/kuchikomi/,65,6,21,8,31,7,31,35,9,3,216.0, ショッピング
東京,東京都庁舎展望室,//www.jalan.net/kankou/spt_13104aj2200025349/kuchikomi/,61,4,11,8,23,5,19,42,13,1,187.0, 観光施設・名所巡り
東京,日本橋（東京都中央区）,//www.jalan.net/kankou/spt_13102ae2180021781/kuchikomi/,46,4,18,12,24,7,24,30,9,3,177.0, 観光施設・名所巡り
東京,渋谷ヒカリエ,//www.jalan.net/kankou/spt_guide000000179696/kuchikomi/,46,6,8,8,26,4,24,39,5,2,168.0, ミュージアム・ギャラリー
東京,Ginza Sony Park,//www.jalan.net/kankou/spt_guide000000151758/kuchikomi/,34,1,6,3,10,3,14,17,8,1,97.0, その他
東京,国営昭和記念公園,//www.jalan.net/kankou/spt_13202ah3330042640/kuchikomi/,61,6,12,8,25,5,30,40,9,3,199.0, 観光施設・名所巡り
東京,六本木,//www.jalan.net/kankou/spt_13103aj2200025022/kuchikomi/,43,1,6,6,18,7,21,24,10,2,138.0, その他
東京,泉岳寺,//www.jalan.net/kankou/spt_13103ag2130013285/kuchikomi/,20,2,6,4,6,3,18,11,4,0,74.0, 神社・神宮・寺院
東京,井の頭恩賜公園（東京都三鷹市）,//www.jalan.net/kankou/spt_13204ah3332024123/kuchikomi/,57,5,14,12,27,6,30,39,11,6,207.0, 観光施設・名所巡り
東京,根津神社,//www.jalan.net/kankou/spt_guide000000186762/kuchikomi/,18,1,3,4,11,2,11,17,5,0,72.0, 神社・神宮・寺院
東京,お台場海浜公園,//www.jalan.net/kankou/spt_13103ah3330042069/kuchikomi/,62,1,16,9,20,5,26,35,12,3,189.0, 観光施設・名所巡り
東京,三鷹の森ジブリ美術館（三鷹市立アニメーション美術館）,//www.jalan.net/kankou/spt_13204cc3302011245/kuchikomi/,64,4,19,9,33,5,20,46,9,1,210.0, ミュージアム・ギャラリー
東京,TOHOシネマズ渋谷,//www.jalan.net/kankou/spt_13113aj2200025307/kuchikomi/,30,0,7,2,14,5,12,18,3,0,91.0, ミュージアム・ギャラリー
東京,東京大学,//www.jalan.net/kankou/spt_13105ae2180022173/kuchikomi/,34,1,9,5,16,6,17,23,7,0,118.0, 観光施設・名所巡り
東京,巣鴨地蔵通り商店街,//www.jalan.net/kankou/spt_13116aj2200023444/kuchikomi/,43,3,3,8,25,1,29,32,8,1,153.0, 観光施設・名所巡り
東京,不忍池,//www.jalan.net/kankou/spt_13106ab2030004433/kuchikomi/,46,1,14,10,15,7,24,23,5,1,146.0, 自然景観・絶景
東京,明治神宮外苑,//www.jalan.net/kankou/spt_13104ah3330042204/kuchikomi/,40,0,10,2,11,2,11,13,6,1,96.0, 観光施設・名所巡り
東京,小田急百貨店新宿店,//www.jalan.net/kankou/spt_guide000000151635/kuchikomi/,44,0,7,5,18,1,20,27,2,0,124.0, ショッピング
東京,皇居外苑,//www.jalan.net/kankou/spt_13101ah3330042201/kuchikomi/,46,3,12,4,16,4,27,22,8,2,144.0, 観光施設・名所巡り
東京,日本武道館,//www.jalan.net/kankou/spt_13101ae2190023096/kuchikomi/,52,3,15,7,21,7,12,26,9,2,154.0, 観光施設・名所巡り
東京,恵比寿ガーデンプレイス,//www.jalan.net/kankou/spt_13113ae2190022809/kuchikomi/,66,3,13,9,33,2,30,31,9,4,200.0, ショッピング
東京,サンシャイン水族館,//www.jalan.net/kankou/spt_13116cc3320040636/kuchikomi/,63,8,14,13,34,8,29,45,15,3,232.0, 観光施設・名所巡り
東京,深大寺,//www.jalan.net/kankou/spt_13208ag2130016039/kuchikomi/,48,1,6,5,17,4,24,17,6,1,129.0, 神社・神宮・寺院
東京,国会議事堂,//www.jalan.net/kankou/spt_13101ae2190023107/kuchikomi/,29,2,10,5,7,6,14,19,9,2,103.0, 観光施設・名所巡り
東京,バスタ新宿,//www.jalan.net/kankou/spt_guide000000184796/kuchikomi/,27,5,6,1,12,3,14,20,4,1,93.0, 乗り物
東京,東京湾シンフォニークルーズ,//www.jalan.net/kankou/spt_13103ee4612035430/kuchikomi/,44,3,11,8,12,2,16,26,6,0,128.0, 乗り物
東京,新宿ゴールデン街,//www.jalan.net/kankou/spt_13104aj2200024511/kuchikomi/,30,1,4,5,14,7,15,22,5,0,103.0, その他
東京,住吉神社（東京都中央区）,//www.jalan.net/kankou/spt_13102ag2130013968/kuchikomi/,25,1,4,3,12,1,19,8,3,1,77.0, 神社・神宮・寺院
東京,浅草ねこ園,//www.jalan.net/kankou/spt_guide000000194326/kuchikomi/,16,0,2,1,16,1,9,9,2,0,56.0,レジャー・体験
東京,旭山（東京都小笠原村）,//www.jalan.net/kankou/spt_13421ab2012070048/kuchikomi/,27,1,3,2,2,1,12,9,3,0,60.0,自然景観・絶景
東京,谷中ぎんざ商店街,//www.jalan.net/kankou/spt_guide000000188551/kuchikomi/,25,0,1,1,16,1,14,16,4,0,78.0,ショッピング
東京,前浜（東京都小笠原村）,//www.jalan.net/kankou/spt_13421cb3492056636/kuchikomi/,22,0,3,3,6,1,9,8,8,0,60.0, 自然景観・絶景
東京,三原山（東京都八丈島八丈町）,//www.jalan.net/kankou/spt_13401ab2010002000/kuchikomi/,22,1,3,1,6,5,14,9,3,1,65.0, 自然景観・絶景
東京,あらかわ遊園,//www.jalan.net/kankou/spt_13118ah3330044075/kuchikomi/,30,2,2,2,17,3,13,16,6,0,91.0, 観光施設・名所巡り
東京,渋谷駅前スクランブル交差点,//www.jalan.net/kankou/spt_guide000000187213/kuchikomi/,21,1,7,1,8,8,5,18,7,1,77.0, 観光施設・名所巡り
東京,三越日本橋本店,//www.jalan.net/kankou/spt_13102ga3552041243/kuchikomi/,56,1,12,8,26,11,19,22,10,1,166.0, ショッピング
東京,日枝神社（東京都清瀬市）,//www.jalan.net/kankou/spt_13221ag2130009710/kuchikomi/,20,1,3,1,7,3,12,4,3,0,54.0, 神社・神宮・寺院
東京,浅間神社（東京都豊島区）,//www.jalan.net/kankou/spt_13116ag2132095737/kuchikomi/,8,0,3,3,6,0,9,6,3,0,38.0, 神社・神宮・寺院
東京,東京都多摩動物公園,//www.jalan.net/kankou/spt_13212cc3310040051/kuchikomi/,49,4,8,7,20,5,24,40,6,1,164.0, 観光施設・名所巡り
東京,住吉神社（東京都青梅市）,//www.jalan.net/kankou/spt_13205ag2132081254/kuchikomi/,18,2,4,3,9,3,12,8,2,3,64.0, 神社・神宮・寺院
東京,東京都江戸東京博物館,//www.jalan.net/kankou/spt_13107cc3290031166/kuchikomi/,31,5,8,10,18,5,14,31,12,1,135.0, ミュージアム・ギャラリー
東京,NHKスタジオパーク,//www.jalan.net/kankou/spt_13113cc3340044912/kuchikomi/,35,2,10,5,18,3,10,24,7,2,116.0, 観光施設・名所巡り
東京,アメ横,//www.jalan.net/kankou/spt_guide000000164172/kuchikomi/,54,8,12,14,34,10,24,59,17,3,235.0, ショッピング
東京,和田倉噴水公園,//www.jalan.net/kankou/spt_13101ah3330042842/kuchikomi/,42,0,3,8,8,1,18,8,2,0,90.0, 観光施設・名所巡り
東京,東海道新幹線品川駅,//www.jalan.net/kankou/spt_guide000000177398/kuchikomi/,34,2,5,2,14,4,16,22,10,1,110.0, その他
東京,味の素スタジアム,//www.jalan.net/kankou/spt_guide000000179622/kuchikomi/,37,1,8,0,9,3,12,18,4,1,93.0, その他スポーツ・フィットネス
東京,サンシャイン60,//www.jalan.net/kankou/spt_13116ae2190022937/kuchikomi/,39,1,3,3,13,3,11,16,6,0,95.0, ショッピング
東京,池袋西武,//www.jalan.net/kankou/spt_guide000000151594/kuchikomi/,58,4,15,9,28,9,23,28,8,5,187.0, ショッピング
東京,東京スカイツリー,//www.jalan.net/kankou/spt_13107ad3352086481/kuchikomi/,65,10,20,8,30,11,29,52,17,3,245.0, エンタメ・アミューズメント
東京,ナンジャタウン,//www.jalan.net/kankou/spt_13116cb3542013804/kuchikomi/,37,4,6,11,13,6,20,49,6,0,152.0, エンタメ・アミューズメント
